style_name,keywords,description,enabled,scope
"米白扁平信息卡","教育,升学,学校,小学,中学,择校,考研,专业,课程,政策,要点,清单,攻略,风险提醒,班型,师资,招生","米白色背景低饱和扁平插画，墨绿/灰绿色系，黑色粗黑体大标题居上，圆形线性图标配圆角卡片清单，点缀植物枝叶与几何曲线装饰，大量留白，杂志式信息图排版；插画元素按该页文案主题抽象绘制，图中文字总量克制、只用标准黑体不变形","true","public"
"杂志风产品对比卡","手机,数码,平板,手表,手环,耳机,家电,汽车,电动车,显卡,跑鞋,剃须刀,对比,测评,选购,怎么选","浅奶油色或浅藕紫渐变纯色背景（可选摄影棚弧形墙面或石质台面），对比双方以高精度写实渲染左右对称，柔和影棚光与地面轻微倒影，中央大号VS字样，顶部超大粗黑标题加副标题加胶囊标签，中部栏目标签行做杂志目录式分栏，参数用细线刻度条标注，关键信息暖橘强调，底部一句话结论条，留白五成；无对比双方时以单品主体居中替代，对比对象按该页文案主题确定；文字总量克制、标准黑体不变形","true","public"
"中轴双栏对比卡","对比,vs,哪个好,择校对比,学校对比,方案对比,价格对比,优劣","画面沿中轴线左右对称分割为双色阵营（墨绿对藏蓝或绿对橙，均低饱和），双方各配写实场景图与图标要点列表，中央放VS或路标罗盘等对比符号，米白底黑体标题，信息图式排版；对比双方按该页文案主题确定，文字总量克制、笔画清晰不变形","true","public"
"写实生活场景卡","美食,菜谱,食材,做法,园艺,养花,生活妙招,科普,健康,养殖,种植,饮品,配方,甜品,炖汤,茶饮,冲饮","奶油米或浅米黄低饱和暖底的写实摄影卡，棚拍柔光或自然光，浅景深虚化，实景照片用圆角矩形大图裁切占约半版，主体置于画面下半部或右侧，顶部大标题（粗黑体）配副标题，要点前配统一小圆图标，暖棕细分隔线与圆角卡片边框，关键信息暖橘强调，温暖治愈；摄影主体按该页文案主题确定，图中文字总量克制、标准黑体不变形","true","public"
"航拍风光旅行卡","旅游,自驾,路线,城市,宜居,景点,行程,风光,户外","写实航拍/高空俯拍风光大图占画面约三分之二（场景按该页文案主题确定，城市/公路/田园/山水均可），其余为奶白或浅米黄纸张感标题区，图与文字区以弧形曲线分割并配细金线或暖棕细线过渡，黑色/深棕粗体大标题加副标题，可少量点缀手账风贴纸/胶带元素（不喧宾夺主），清爽旅行杂志感；文字总量克制、笔画清晰","true","public"
"水彩绘本插画卡","规划,前景,路径,就业方向,人生选择,成长,目标,愿景","柔和水彩质感插画：蜿蜒道路/阶梯/河流等引向远方的意象构图，画面散布与该页文案主题呼应的隐喻小物，蓝灰金或青绿淡雅色调，标题下配要点短句，梦幻留白构图；文字总量克制，手写感标题也需笔画清晰可辨不变形","true","public"
"写实静物家居卡","家居,收纳,洗护,母婴,厨房,百货,生活用品,好物","米白/浅木色真实场景中的静物单品海报：单一主体大图居中或偏置，自然窗光影，画面上三分之一为纯色标题区（黑体主标题+副标题+彩色小标签），图与文字以弧线自然衔接，不堆要点列表、每页只讲一个信息点，色调温暖低饱和；静物主体按该页文案主题确定，文字总量克制、标准黑体不变形","true","public"
"深色科技风","性价比,千元机,跑分,参数,快充,电池,电竞,游戏手机,旗舰,测评","炭黑或深灰近黑背景，琥珀橙高亮价格与重点数字，青蓝渐变霓虹光斑，主体以3D渲染小图呈现于圆角参数卡片内竖排堆叠，配线性小图标，粗黑体大标题加无衬线数字，细线分割，硬核测评感、干净利落；主体按该页文案主题确定（产品/设备/物件均可3D化），文字总量克制、白字笔画清晰不糊","true","public"
"科技产品渲染卡","芯片,处理器,AI,5G,科技,游戏,电竞,性能,算力","冷灰蓝或淡银灰纯色背景（不用米色系），主体以高精度写实3D渲染呈现、柔和影棚光、地面轻微倒影，参数要点以细线刻度条与数据卡片罗列，顶部超大粗黑标题，低饱和冷色调、大量留白，真实可信的棚拍质感；渲染主体按该页文案主题确定，文字总量克制、标准黑体不变形","true","public"
"手写暖心科普卡","宠物,猫,狗,喝水,情绪,心理,治愈,冷知识,习惯,陪伴","奶油米色背景，顶部写实摄影图（自然光，主体按该页文案主题确定），圆润手写体感大标题（笔画清晰可辨不变形），要点装在白色圆角标签内逐条排列，深绿强调色配深棕黑体正文，留白充足，温馨手作感而不花哨","true","public"
"新中式史料卡","历史,朝代,古代,文物,条约,战役,历史人物,诗人,诗词,古文,成语,典故,王朝,皇帝,考古,传统文化,节气,非遗,书法,国画,名句,边塞,文化,民俗,博物馆,古建,国风","米黄宣纸底带细腻纸纹或做旧斑驳质感，墨色书法感粗黑体大标题（横竖排均可），朱砂红与黛青双色点缀，朱红只用于印章、关键数字与关键词强调；主题图用水墨淡彩、工笔白描或做旧老照片质感（题材按该页文案确定），叠一枚朱红方形印章点题，细回纹或祥云线做分隔，留白取法中式册页；文字总量克制、笔画清晰，整体沉静古雅像装帧考究的读物内页","true","public"
"政务办事指南卡","办事,证件,身份证,护照,社保,公积金,五险,一金,申领,补贴,户口,落户,驾照,登记,流程,手续,窗口,证明,医保,纳税,退税,投诉,维权,举报,理赔,客服,退货,退款,黑名单,封号,政策,咨询","浅蓝灰或米白干净底色，深藏青粗黑体大标题（单行可占版宽八成），红色只用于关键数字与硬条件；标题下一条藏青横幅细条写白字硬道理（一句利落判断句），蓝色圆形数字序号章引导步骤要点，关键词用浅橙或浅红荧光底块标注；配图（按该页文案主题确定的实景或示意场景）压圆角相框置版面一角，步骤间虚线箭头串联，尾页可做两栏「能/不能」绿对勾红叉速查对比；文字总量克制、标准黑体不变形，像设计精良的官方指南","true","public"
"胶片摄影随笔卡","生活记录,日常,随想,情感,故事,回忆,慢生活,咖啡馆,旅行见闻,城市漫步","柯达暖调胶片色（暖黄高光、微青阴影）配轻微颗粒感，实拍场景大图带暗角（场景按该页文案主题确定），文字区像相纸留白边，手写体感小注点缀，标题用衬线粗宋或复古黑体，胶片齿孔或相纸撕边做装饰细节；文字总量克制、笔画清晰，整体像一本摄影随笔集内页","true","public"
"黑板报手绘卡","学生,校园,开学,考试,学习方法,班会,青少年,暑假,寒假,作业,辅导,小学,中学","深墨绿或深灰蓝黑板底色带粉笔灰痕迹，粉笔白与彩色粉笔（鹅黄/粉蓝/浅粉）手写标题与简笔画插画（元素按该页文案主题绘制），文字像板书带轻微笔触感但笔画清晰可辨，边框用粉笔波浪线或彩旗几何装饰，配简笔画小图案，活泼但版面工整；文字总量克制","true","public"
"报刊杂志排版卡","新闻,时事,行业,职场,商业,趋势,访谈,深度,评论,财经观察","米白报纸底色配细密分栏网格，黑色衬线大标题如报头，栏目细黑直线分栏，首字下沉排版点缀，配黑白纪实或单色调图片（内容按该页文案主题确定），红色只用于一处点睛（日期戳或重点词下划线）；严格限制图中文字总量（报头标题+要点短句，不做大段正文），整体像高质量周日报纸文化版","true","public"
"3D粘土萌趣卡","母婴,育儿,亲子,玩具,零食,宠物,卡通,萌宠,儿童,辅食,好物","奶油白或淡鹅黄柔和底色，主体用3D粘土质感萌趣小物（圆润造型、哑光细腻、软糯高光，造型按该页文案主题确定），大圆角卡片配糖果色低饱和撞色（奶黄/薄荷/浅珊瑚），圆体感粗标题（笔画清晰不变形），云朵星星圆点做散点装饰；文字总量克制，整体萌而不幼稚","true","public"
"蓝图工程线稿卡","装修,水电,户型,收纳,工具,DIY,汽车保养,机械,安装,维修,参数","深青蓝图纸底色配白色制图线稿，等距轴测插画风格的主体线图（主体按该页文案主题确定：设备/户型/流程物件均可线稿化），虚线标注线加尺寸箭头，标题用仿手绘工程字白色粗体（笔画清晰不糊），标注文字配细线引出且严格控制字数（只标3-5个要点短词），网格淡纹铺底，四角图纸角标；整体像精心绘制的工程蓝图","true","public"
